time,recursion_count,image_size,pixels_calculated,gpu_seconds,gpu_pixels_per_second
1554413520.8851585,100,2764800,260176350,0.5835909843444824,445819687.0403038
1554413521.473369,200,2764800,488742700,0.580822229385376,841466933.0359236
1554413522.0593364,300,2764800,687699050,0.684955358505249,1004005650.0919102
1554413522.7488124,400,2764800,859045400,0.6809482574462891,1261542842.067936
1554413523.4347086,500,2764800,1004781750,0.6837172508239746,1469586658.5040789
1554413524.1236506,600,2764800,1126908100,0.6150069236755371,1832350265.6931546
1554413524.743267,700,2764800,1227424450,0.5539720058441162,2215679559.709356
1554413525.301126,800,2764800,1308330800,0.5446884632110596,2401980009.4297924
1554413525.850501,900,2764800,1371627150,0.6537253856658936,2098170241.0146456
1554413526.510697,1000,2764800,1419313500,0.6441006660461426,2203558503.8477855
1554413527.1593497,1100,2764800,1453389850,0.6428813934326172,2260743373.267864
1554413527.8072412,1200,2764800,1475856200,0.6325356960296631,2333237806.59928
1554413528.4445994,1300,2764800,1488712550,0.6187708377838135,2405919056.1274114
1554413529.068513,1400,2764800,1493958900,0.5609762668609619,2663141006.5878563
