time,recursion_count,image_size,pixels_calculated,cpp_seconds,cpp_pixels_per_second,python_seconds,python_pixels_per_second
1554341483.7268865,200,473760,68663100,16.12996506690979,4256866.007779557,1031.9486269950867,66537.32385878441
1554342531.9306836,300,473760,86319650,20.07009506225586,4300908.8762282,1293.9591109752655,66709.72001189459
1554343846.1173189,400,473760,95526200,22.349260330200195,4274244.363734802,1415.2007250785828,67500.1067390604
1554345283.8125176,500,473760,98282750,23.001294374465942,4272922.575570575,1511.5128965377808,65022.76641180044
