time,recursion_count,image_size,pixels_calculated,gpu_seconds,gpu_pixels_per_second,cpp_seconds,cpp_pixels_per_second,python_seconds,python_pixels_per_second
1554396696.8646286,1,810000,810000,0.17902922630310059,4524400.941266715,0.3598954677581787,2250653.5162711632,15.595146894454956,51939.23503779277
1554396713.006545,10,810000,8015910,0.21732211112976074,36884926.05896776,2.518676519393921,3182588.132408881,130.32732105255127,61505.9830529915
1554396846.0775316,50,810000,38243550,0.17056012153625488,224223280.6563216,9.951778411865234,3842886.0066260374,600.306361913681,63706.72114499279
1554397456.5142615,100,810000,72047100,0.16842246055603027,427776080.23385686,16.87110996246338,4270442.203287037,1122.4401588439941,64187.92078341318
1554398596.001838,200,810000,127334200,0.16330623626708984,779726499.7996951,29.67830204963684,4290481.30135727,1980.219001531601,64303.08965902929
1554400606.0707178,400,810000,195628400,0.15978193283081055,1224346185.6676028,45.243555545806885,4323895.362333666,3043.0724065303802,64286.475596237826
1554405992.445171,500,810000,212635500,0.15247154235839844,1394591388.7339096,58.21566867828369,3652547.5843124664,3560.1432564258575,59726.669598535096
